"Fcilty_typ","State","Fcilty_nam","Shp_num_an","Shp_centre","Street_add","Locality","Postcode","Hrs_of_bus","Wheelchair","Display_wd","Fcilty_typ_2","Xcoord","Ycoord","uuid","result","Audio"
,ACT,Dan Murphy's Stores,,Westfield Shopping Centre,"193 Benjamin Way, Shop 6, Level 2",Belconnen,2617,"9:00AM-9:00PM Monday-Sat, 10:00AM-7:00PM Sun  ",,,,149.067331,-35.245806,,,
,ACT,Dan Murphy's Stores,,Phillip Market Place Shops,Cnr Hindmarsh Drive & Botany St,Phillip,2606,"9:00AM-9:00PM Monday-Sat, 10:00AM-7:00PM Sun  ",,,,149.088407,-35.348856,,,
,ACT,Dan Murphy's Stores,Shop 34-36,Homeworld Centre,"150-180 Soward Way, Tuggeranong Town Centre",Greenway,2900,"9:00AM-9:00PM Monday-Sat, 10:00AM-7:00PM Sun  ",,,,149.067828,-35.41801,,,
,NSW,Dan Murphy's Stores,,,428-432 Dean Street,Albury,2640,"9:00AM-9:00PM Monday-Sat, 10:00AM-7:00PM Sun  ",,,,146.92279,-36.081514,,,
,NSW,Dan Murphy's Stores,,,2/10 Fountain Street,Alexandria,2015,"9:00AM-8:00PM Monday-Wed, 9:00AM-9:00PM Thur-Sat, 10:00AM-7:00PM Sun  ",,,,151.194928,-33.902629,,,
,NSW,Dan Murphy's Stores,,,218 Beardy St,Armidale,2350,"9:00AM-9:00PM Monday-Sat, 10:00AM-7:00PM Sun  ",,,,151.663811,-30.513115,,,
,NSW,Dan Murphy's Stores,,,Cnr Kalinga St & Riverview Ave,Ballina,2478,"9:00AM-8:00PM Monday-Wed, 9:00AM-9:00PM Thur-Sat, 10:00AM-7:00PM Sun  ",,,,153.535268,-28.864653,,,
,NSW,Dan Murphy's Stores,,,Cnr Rickard Rd & Stacey St,Bankstown,2200,"9:00AM-8:00PM Monday-Wed, 9:00AM-9:00PM Thur-Fri, 9:00AM-8:00PM Sat, 10:00AM-6:00PM Sun  ",,,,151.041809,-33.914572,,,
,NSW,Dan Murphy's Stores,,,57 George St,Bathurst,2795,"9:00AM-9:00PM Monday-Sat, 10:00AM-7:00PM Sun  ",,,,149.581871,-33.414482,,,
,NSW,Dan Murphy's Stores,Shop MM03,,106 Auckland St,Bega,2550,"9:00AM-9:00PM Monday-Sat, 10:00AM-7:00PM Sun  ",,,,149.840988,-36.674808,,,
,NSW,Dan Murphy's Stores,,,Cnr Blacktown Rd & Lacey Place,Blacktown,2148,"9:00AM-9:00PM Monday-Sat, 10:00AM-7:00PM Sun  ",,,,150.920169,-33.777107,,,
,NSW,Dan Murphy's Stores,,,312 Parramatta Road,Burwood,2134,"9:00AM-8:00PM Monday-Wed, 9:00AM-9:00PM Thur-Sat, 10:00AM-7:00PM Sun  ",,,,151.107556,-33.869793,,,
,NSW,Dan Murphy's Stores,,,343 Port Hacking Road,Caringbah,2229,"9:00AM-9:00PM Monday-Sat, 10:00AM-7:00PM Sun  ",,,,151.123532,-34.043461,,,
,NSW,Dan Murphy's Stores,,Marketplace Shopping Centre,"Cnr Cowpasture & Kurrajong Rd, Hoxton Park",Carnes Hill,2171,"9:00AM-9:00PM Monday-Sat, 10:00AM-7:00PM Sun  ",,,,150.843551,-33.935708,,,
,NSW,Dan Murphy's Stores,,,250 Old Northern Road,Castle Hill,2154,"9:00AM-9:00PM Monday-Sat, 10:00AM-7:00PM Sun  ",,,,151.00323,-33.734578,,,
,NSW,Dan Murphy's Stores,,,,Castle Towers,(error on page),,,,,,,,,
,NSW,Dan Murphy's Stores,,,580 Hume Highway,Casula,2170,"9:00AM-9:00PM Monday-Sat, 10:00AM-7:00PM Sun  ",,,,150.904067,-33.951437,,,
,NSW,Dan Murphy's Stores,,,30 Pearson St,Charlestown,2290,"9:00AM-9:00PM Monday-Sat, 10:00AM-7:00PM Sun  ",,,,151.693939,-32.963619,,,
,NSW,Dan Murphy's Stores,,,100-102 Grafton St,Coffs Harbour,2450,"9:00AM-8:00PM Monday-Wed, 9:00AM-9:00PM Thur-Fri, 9:00AM-8:00PM Sat, 10:00AM-6:00PM Sun  ",,,,153.115194,-30.294484,,,
,NSW,Dan Murphy's Stores,,,Cnr Hewitt St & Great Western Highway,Colyton,2760,"9:00AM-9:00PM Monday-Sat, 10:00AM-7:00PM Sun  ",,,,150.802662,-33.776735,,,
,NSW,Dan Murphy's Stores,,,270 Princes Highway,Corrimal,2518,"9:00AM-9:00PM Monday-Sat, 10:00AM-7:00PM Sun  ",,,,150.897632,-34.374104,,,
,NSW,Dan Murphy's Stores,,,1 Kiaora Rd,Double Bay,2028,"9:00AM-9:00PM Monday-Sat, 10:00AM-7:00PM Sun  ",,,,151.24449,-33.877803,,,
,NSW,Dan Murphy's Stores,,,Cnr Windsor Parade & Birch Ave,Dubbo,2830,"9:00AM-9:00PM Monday-Sat, 10:00AM-7:00PM Sun  ",,,,148.643446,-32.254033,,,
,NSW,Dan Murphy's Stores,,Stockland Green Hills ,14 Mitchell Dr,East Maitland,2323,"9:00AM-9:00PM Monday-Sat, 10:00AM-7:00PM Sun  ",,,,151.591689,-32.762986,,,
,NSW,Dan Murphy's Stores,,,7-9 East Market St,Richmond,2753,"9:00AM-9:00PM Monday-Sat, 10:00AM-6:00PM Sun  ",,,,-122.370171,37.958711,,,
,NSW,Dan Murphy's Stores,,,1-7 Rowe St (Cnr Blaxland Rd),Eastwood,2122,"9:00AM-9:00PM Monday-Sat, 10:00AM-7:00PM Sun  ",,,,151.086325,-33.790463,,,
,NSW,Dan Murphy's Stores,,,14 Water St ,Emu Plains,2750,"9:00AM-9:00PM Monday-Sat, 10:00AM-7:00PM Sun  ",,,,150.656662,-33.753101,,,
,NSW,Dan Murphy's Stores,Shop 13,Fountain Plaza,148 The Entrance Rd,Erina,2250,"9:00AM-9:00PM Monday-Sat, 10:00AM-7:00PM Sun  ",,,,151.379598,-33.438672,,,
,NSW,Dan Murphy's Stores,,,330 Victoria Rd,Gladesville,2111,"9:00AM-9:00PM Monday-Sat, 10:00AM-7:00PM Sun  ",,,,151.125867,-33.826472,,,
,NSW,Dan Murphy's Stores,,Grafton Shopping World,42 Duke St ,Grafton,2460,"9:00AM-8:00PM Monday-Wed, 9:00AM-9:00PM Thur-Fri, 9:00AM-8:00PM Sat, 10:00AM-7:00PM Sun  ",,,,152.936707,-29.689911,,,
,NSW,Dan Murphy's Stores,Shop 1005,Westfield Shopping Centre,Cnr Florence & Hunter Sts,Hornsby,2077,"9:00AM-9:00PM Monday-Sat, 10:00AM-7:00PM Sun  ",,,,151.099736,-33.703888,,,
,NSW,Dan Murphy's Stores,Shop 6MA,Westfield Shopping Centre,Cnr Cross St & The Avenue,Hurstville,2220,"9:00AM-9:00PM Monday-Sat, 10:00AM-7:00PM Sun  ",,,,151.105696,-33.964671,,,
,NSW,Dan Murphy's Stores,,,136 Bathurst Rd,Katoomba,2780,"9:00AM-8:00PM Monday-Wed, 9:00AM-9:00PM Thur-Fri, 9:00AM-8:00PM Sat, 10:00AM-6:00PM Sun  ",,,,150.30995,-33.711449,,,
,NSW,Dan Murphy's Stores,,,493-501 Anzac Parade (Cnr Irvine St),Kingsford,2032,"9:00AM-8:00PM Monday-Sat, 10:00AM-7:00PM Sun  ",,,,151.234217,-33.929014,,,
,NSW,Dan Murphy's Stores,,Kotara Homemaker Centre,108 Park Avenue,Kotara,2289,"9:00AM-9:00PM Monday-Sat, 10:00AM-7:00PM Sun  ",,,,151.708849,-32.940645,,,
,NSW,Dan Murphy's Stores,,,68 Ballina Road,Lismore,2480,"9:00AM-8:00PM Monday-Tue, 10:00AM-8:00PM Wed, 9:00AM-9:00PM Thur-Sat, 10:00AM-7:00PM Sun  ",,,,153.283427,-28.814452,,,
,NSW,Dan Murphy's Stores,Lev1 C048-C049,Macarthur Square Shopping Centre,Cnr Kellicar Rd & Bolger St,Ambarvale,2560,"9:00AM-9:00PM Monday-Sat, 10:00AM-7:00PM Sun  ",,,,150.799,-34.07388,,,
,NSW,Dan Murphy's Stores,,,279-283 Condamine St,Manly Vale,2093,"9:00AM-9:00PM Monday-Sat, 10:00AM-7:00PM Sun  ",,,,151.266457,-33.785771,,,
,NSW,Dan Murphy's Stores,,Menai Central Building C,Cnr Old Illawara & Menai Rds,Menai,2234,"9:00AM-9:00PM Monday-Sat, 10:00AM-7:00PM Sun  ",,,,151.0113,-34.014608,,,
,NSW,Dan Murphy's Stores,,,Cnr Bowral Rd & Pioneer St,Mittagong,2575,"9:00AM-9:00PM Monday-Sat, 10:00AM-7:00PM Sun  ",,,,150.44487,-34.451741,,,
,NSW,Dan Murphy's Stores,,,25-29 Park St,Mona Vale,2103,"9:00AM-9:00PM Mon-Sat, 10:00AM-7:00PM Sun  ",,,,151.296392,-33.723635,,,
,NSW,Dan Murphy's Stores,,,23 Steel St,Newcastle West,2302,"9:00AM-8:00PM Mon-Wed, 9:00AM-9:00PM Thur-Fri, 9:00AM-8:00PM Sat, 10:00AM-6:00PM Sun  ",,,,151.763791,-32.929245,,,
,NSW,Dan Murphy's Stores,,,86 Summer St,Orange,2800,"9:00AM-9:00PM Mon-Sat, 10:00AM-7:00PM Sun  ",,,,-74.234805,40.77785,,,
,NSW,Dan Murphy's Stores,,,Cnr Maxwell St & The Northern Road,Penrith,2750,"9:00AM-9:00PM Mon-Sat, 10:00AM-7:00PM Sun  ",,,,150.711977,-33.775673,,,
,NSW,Dan Murphy's Stores,,,Cnr Gordon & Horton Sts,Port Macquarie,2444,"9:00AM-9:00PM Mon-Sat, 10:00AM-7:00PM Sun  ",,,,152.908342,-31.431263,,,
,NSW,Dan Murphy's Stores,,,30 Port Stephens St,Raymond Terrace,2324,"9:00AM-8:00PM Mon-Wed, 9:00AM-9:00PM Thur-Fri, 9:00AM-8:00PM Sat, 10:00AM-6:00PM Sun  ",,,,151.744607,-32.759703,,,
,NSW,Dan Murphy's Stores,,,15 Merriville Road,Kellyville Ridge,2155,"9:00AM-9:00PM Mon-Sat, 10:00AM-7:00PM Sun  ",,,,150.92762,-33.700446,,,
,NSW,Dan Murphy's Stores,Shop 8,Shellharbour Stockland Retail Park,New Lake Entrance Rd,Shellharbour,2529,"9:00AM-9:00PM Mon-Sat, 10:00AM-7:00PM Sun  ",,,,150.826902,-34.565687,,,
,NSW,Dan Murphy's Stores,,,53 Minjungbal Dr,South Tweed,2385,"9:00AM-8:00PM Mon-Tue, 10:00AM-8:00PM Wed, 9:00AM-9:00PM Thur-Sat, 10:00AM-7:00PM Sun  ",,,,153.540894,-28.192602,,,
,NSW,Dan Murphy's Stores,,,350-360 Liverpool Rd,Strathfield,2136,"9:00AM-8:00PM Mon-Wed, 9:00AM-9:00PM Thur-Sat, 10:00AM-7:00PM Sun  ",,,,151.119209,-33.888821,,,
,NSW,Dan Murphy's Stores,,,152 Pacific Highway,Swansea,2281,"9:00AM-9:00PM Mon-Sat, 10:00AM-7:00PM Sun  ",,,,151.638021,-33.088849,,,
,NSW,Dan Murphy's Stores,,Parkway Plaza Shopping Centre,2-12 The Comenarra Parkway & Bellevue St,Thornleigh,2120,"9:00AM-9:00PM Mon-Sat, 10:00AM-7:00PM Sun  ",,,,151.08215,-33.732207,,,
,NSW,Dan Murphy's Stores,,,Crn Devlin St & Blaxland Rd,Top Ryde,2112,"8:00AM-9:00PM Mon-Sat, 10:00AM-7:00PM Sun  ",,,,-1.163282,50.729952,,,
,NSW,Dan Murphy's Stores,Shop M8,Westfield Shopping Centre,50 Wyong Rd,Tuggerah,2259,"9:00AM-9:00PM Mon-Sat, 10:00AM-7:00PM Sun  ",,,,151.412276,-33.30755,,,
,NSW,Dan Murphy's Stores,,,2 Flinders St,Wagga Wagga,2650,"9:00AM-9:00PM Mon-Sat, 10:00AM-7:00PM Sun  ",,,,147.369547,-35.119482,,,
